comparison_id,plan_id,role_code,role_title,requirement_id,python_expected_text,genai_generated_text,match_status,coverage_status,traceability_status,validation_status,disagreement_explanation
CMP-PLAN-ACA-EMP-004-001,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AIR-001,FAA Part 107 Remote Pilot License,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-002,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-SEC-003,Flight Telemetry 7-Year Retention,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-003,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-033,Operations Specification Clause 33.7,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-004,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-063,Operations Specification Clause 63.1,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-005,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-093,Operations Specification Clause 93.4,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-006,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-123,Operations Specification Clause 123.7,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-007,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-153,Operations Specification Clause 153.1,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-008,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-QA-001,Dual Pre-Flight Inspection Sign-Off,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-009,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-ENG-001,DO-178C Level B MC/DC Coverage,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
CMP-PLAN-ACA-EMP-004-010,PLAN-ACA-EMP-004,ACA,Airworthiness Compliance Analyst,REQ-AERO-023,Operations Specification Clause 23.6,Included in Modules/Tasks,MATCH,Covered,Fully Traceable,Verified,
